Company,Domain,Industry,Size,Decision Maker,Role,LinkedIn,Email,Score,Status,Source
"A List of Top SaaS Companies Data in India","salesleadsforever.com","Technology","unknown","Insights SaaS","CEO/Founder","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"Top 10 Leading SaaS Companies in India: 2025 Edition","ioss.co","Technology","unknown","Decision Maker","Leadership","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"32 SaaS Companies in India to Know","builtin.com","Technology","unknown","of Gigya","CEO/Founder","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"India SaaS Unicorn Tracker","saasboomi.org","Technology","unknown","and CEO","CEO/Founder","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"SaaS Funding in India in 2025: A Startup Founder's ...","ecaplabs.com","Technology","unknown","and Founder","CEO/Founder","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"Top 2751 SaaS Companies in India, February 2026","getlatka.com","Technology","unknown","Insights SaaS","CEO/Founder","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"SaaS Startups funded by Y Combinator (YC) in India 2026","ycombinator.com","Technology","unknown","contacts are","CEO/Founder","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"List of top India SaaS Companies","crunchbase.com","Technology","unknown","Insights SaaS","CEO/Founder","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"Top SaaS Startups in India","wellfound.com","Technology","unknown","Insights SaaS","CEO/Founder","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"List of Funded SaaS Startups For 2025","growthlist.co","Technology","unknown","Decision Maker","Leadership","","","8","hot","SaaS OR Software companies 1-10-undefined find leads find india funding"
"89 SaaS Companies in NYC You Need to Know","builtinnyc.com","Technology","unknown","","","","","3","cold","SaaS startups 2025 2026 find"
"Jump Raises $80 Million in Series B","medial.app","Technology","unknown","","","","","3","cold","SaaS companies raising series a b"
"The Bar Today for a Series B","saastr.com","Technology","unknown","","","","","3","cold","SaaS companies raising series a b"
"Series B Funding: 15 Top Venture Capital Firms","rho.co","Technology","unknown","","","","","3","cold","SaaS companies raising series a b"
"Basis raises $100m Series B at $1.15bn valuation","fintechfutures.com","Technology","unknown","","","","","3","cold","SaaS companies raising series a b"
"Collide Capital","linkedin.com","Technology","unknown","","","","","3","cold","SaaS companies raising series a b"
"List of Funded Series B Startups (2025","fundraiseinsider.com","Technology","unknown","","","","","3","cold","SaaS companies raising series a b"